,aTagContent,href,keys,attributes,candidateMatch,len_aTagContent,len_aTagContent_group_between 60 and 175,len_aTagContent_group_under 60,len_href,num_keys,attr_job_yn
46,Support Advisor  Fluent in Italian Remote Eastern Canada , careers support advisor fluent in italian remote eastern canada a79360,class aria label href,color cyan 70 link view job posting ,1.0,60,1,0,71,3,1
47,Support Advisor  Fluent in Italian Remote Ireland , careers support advisor fluent in italian remote ireland a99863,class aria label href,color cyan 70 link view job posting ,1.0,53,0,1,64,3,1
48,Support Advisor  Fluent in Brazilian Portuguese Remote Western Canada , careers support advisor fluent in brazilian portuguese remote western canada cd7c98,class aria label href,color cyan 70 link view job posting ,1.0,73,1,0,84,3,1
49,Support Advisor  Fluent in German Remote Eastern Canada , careers support advisor fluent in german remote eastern canada 17d08e,class aria label href,color cyan 70 link view job posting ,1.0,59,0,1,70,3,1
50,Support Advisor  Fluent in Danish Remote Ireland , careers support advisor fluent in danish remote ireland 17a505,class aria label href,color cyan 70 link view job posting ,1.0,52,0,1,63,3,1
51,Support Advisor  Fluent in Japanese Remote Ireland , careers support advisor fluent in japanese remote ireland 883c00,class aria label href,color cyan 70 link view job posting ,1.0,54,0,1,65,3,1
52,Support Advisor Remote Eastern Canada , careers support advisor remote eastern canada fb6fd2,class aria label href,color cyan 70 link view job posting ,1.0,40,0,1,53,3,1
53,Support Advisor Remote Ireland , careers support advisor remote ireland 5e32ac,class aria label href,color cyan 70 link view job posting ,1.0,33,0,1,46,3,1
54,Junior Support Advisor, careers junior support advisor ed515e,class aria label href,color cyan 70 link view job posting ,1.0,22,0,1,38,3,1
55,Director of Data Science Shop, careers director of data science shop cd1b2d,class aria label href,color cyan 70 link view job posting ,1.0,30,0,1,45,3,1
56,Senior Data Scientist International Growth, careers senior data scientist international growth e49a89,class aria label href,color cyan 70 link view job posting ,1.0,43,0,1,58,3,1
57,Senior Analytics Developer Merchant Data, careers senior analytics developer merchant data 42b196,class aria label href,color cyan 70 link view job posting ,1.0,41,0,1,56,3,1
58,Senior Data Scientist  Finance Remote Americas , careers senior data scientist finance remote americas c3e717,class aria label href,color cyan 70 link view job posting ,1.0,50,0,1,61,3,1
59,Senior Software Developer Data Platform, careers senior software developer data platform 916f26,class aria label href,color cyan 70 link view job posting ,1.0,40,0,1,55,3,1
60,Staff ML Engineer, careers staff ml engineer f07aae,class aria label href,color cyan 70 link view job posting ,1.0,17,0,1,33,3,1
61,Data Science Manager APAC Remote , careers data science manager apac remote 9614e9,class aria label href,color cyan 70 link view job posting ,1.0,35,0,1,48,3,1
62,Staff Data Security Developer, careers staff data security developer be978c,class aria label href,color cyan 70 link view job posting ,1.0,29,0,1,45,3,1
63,Senior Full Stack Developer  Data Visualization, careers senior full stack developer data visualization 5391ca,class aria label href,color cyan 70 link view job posting ,1.0,48,0,1,62,3,1
64,Shopify Dev Degree  2021, careers shopify dev degree 2021 429856,class aria label href,color cyan 70 link view job posting ,1.0,25,0,1,39,3,1
65,Shopify Engineering Talent Community, careers shopify engineering talent community fdab29,class aria label href,color cyan 70 link view job posting ,1.0,36,0,1,52,3,1
66,Principal Engineer Online Store, careers principal engineer online store fc202a,class aria label href,color cyan 70 link view job posting ,1.0,32,0,1,47,3,1
67,QA Engineer Remote Europe , careers qa engineer remote europe 9911ff,class aria label href,color cyan 70 link view job posting ,1.0,28,0,1,41,3,1
68,Senior Software Development Manager Remote Americas , careers senior software development manager remote americas 601dde,class aria label href,color cyan 70 link view job posting ,1.0,54,0,1,67,3,1
69,Senior Software Developer Remote Americas , careers senior software developer remote americas 0d4d41,class aria label href,color cyan 70 link view job posting ,1.0,44,0,1,57,3,1
70,Software Development Manager  Backend Mobile UX or Web Development Remote Americas , careers software development manager backend mobile ux or web development remote americas 341321,class aria label href,color cyan 70 link view job posting ,1.0,88,1,0,97,3,1
71,Staff Software Developer Remote Americas , careers staff software developer remote americas 31fe05,class aria label href,color cyan 70 link view job posting ,1.0,43,0,1,56,3,1
72,Senior Site Reliability Engineer Remote , careers senior site reliability engineer remote 5a0eff,class aria label href,color cyan 70 link view job posting ,1.0,41,0,1,55,3,1
73,Staff Production Engineer Search Infrastructure Remote , careers staff production engineer search infrastructure remote d343b0,class aria label href,color cyan 70 link view job posting ,1.0,57,0,1,70,3,1
74,Staff Production Engineer Network Foundations Remote , careers staff production engineer network foundations remote d0fc13,class aria label href,color cyan 70 link view job posting ,1.0,55,0,1,68,3,1
75,Development Manager  Growth Technology  APAC, careers development manager growth technology apac e1d8e0,class aria label href,color cyan 70 link view job posting ,1.0,46,0,1,58,3,1
76,Senior Recruiter APAC  Japan, careers senior recruiter apac japan 9ff02f,class aria label href,color cyan 70 link view job posting ,1.0,29,0,1,43,3,1
77,Growth Marketing Manager Remote Japan               , careers growth marketing manager remote japan dc0e90,class aria label href,color cyan 70 link view job posting ,1.0,69,1,0,53,3,1
78,Plus Partner Manager Remote Japan Plus      , careers plus partner manager remote japan plus a16412,class aria label href,color cyan 70 link view job posting ,1.0,53,0,1,54,3,1
79,Senior Product Manager Retail Analytics EST , careers senior product manager retail analytics est ba8ef2,class aria label href,color cyan 70 link view job posting ,1.0,46,0,1,59,3,1
80,Merchant Success Manager Large Merchant Program Remote Americas  PST , careers merchant success manager large merchant program remote americas pst dbce5e,class aria label href,color cyan 70 link view job posting ,1.0,73,1,0,83,3,1
81,Merchant Success Manager Shopify Plus  Remote Americas  PST , careers merchant success manager shopify plus remote americas pst 45c2c0,class aria label href,color cyan 70 link view job posting ,1.0,65,1,0,73,3,1
82,Account Executive  Shopify Plus Germany, careers account executive shopify plus germany 41e9ac,class aria label href,color cyan 70 link view job posting ,1.0,41,0,1,54,3,1
83,Merchant Success Lead  Australia, careers merchant success lead australia 3181d5,class aria label href,color cyan 70 link view job posting ,1.0,33,0,1,47,3,1
84,Account Manager MSM  Shopify Plus Remote Japan , careers account manager msm shopify plus remote japan 317cb1,class aria label href,color cyan 70 link view job posting ,1.0,50,0,1,61,3,1
85,Shared Merchant Success Manager ANZ Remote , careers shared merchant success manager anz remote 3ea9dc,class aria label href,color cyan 70 link view job posting ,1.0,45,0,1,58,3,1
86,Key Account Manager  Shopify Fulfillment Network, careers key account manager shopify fulfillment network cc4a38,class aria label href,color cyan 70 link view job posting ,1.0,49,0,1,63,3,1
87,Senior Solutions Engineer, careers senior solutions engineer 408fdd,class aria label href,color cyan 70 link view job posting ,1.0,25,0,1,41,3,1
88,Senior Plus Security Partner Trust, careers senior plus security partner trust c7eaa5,class aria label href,color cyan 70 link view job posting ,1.0,35,0,1,50,3,1
89,Staff Infrastructure Security Engineer, careers staff infrastructure security engineer 1c7660,class aria label href,color cyan 70 link view job posting ,1.0,38,0,1,54,3,1
90,Senior Salesforce Developer, careers senior salesforce developer f01310,class aria label href,color cyan 70 link view job posting ,1.0,27,0,1,43,3,1
91,IT Specialist Productivity Tools, careers it specialist productivity tools 2b22c9,class aria label href,color cyan 70 link view job posting ,1.0,33,0,1,48,3,1
92,Privacy Developer, careers privacy developer 06f0fc,class aria label href,color cyan 70 link view job posting ,1.0,17,0,1,33,3,1
93,Sr UX Researcher Remote Japan          , careers sr ux researcher remote japan a9511c,class aria label href,color cyan 70 link view job posting ,1.0,51,0,1,45,3,1
94,Senior Product Designer Remote Americas , careers senior product designer remote americas 295be9,class aria label href,color cyan 70 link view job posting ,1.0,42,0,1,55,3,1
95,Marketing Designer Growth Products  Remote Europe, careers marketing designer growth products remote europe 39e4fd,class aria label href,color cyan 70 link view job posting ,1.0,52,0,1,64,3,1
96,Home, careers,active controller href,home ,0.0,4,0,1,8,2,0
97,Life at Shopify, careers culture,active controller href,culture ,0.0,15,0,1,16,2,0
98,Work anywhere, careers work anywhere,active controller href,remote ,0.0,13,0,1,22,2,0
99,Teams, careers teams,active controller href,teams ,0.0,5,0,1,14,2,0
100,Internships, careers interns,active controller href,interns ,0.0,11,0,1,16,2,0
101,Search jobs, careers search,active controller href,job postings ,0.0,11,0,1,15,2,1
102,Learn More, affiliates itcat careers itterm footer,data event page data event category data event action data event label class href,careers link click link footer affiliates link ,0.0,10,0,1,39,6,0
103,Learn More,https  developers shopify com itcat careers itterm footer,data event page data event category data event action data event label class href,careers link click link footer developers link ,0.0,10,0,1,59,6,0
104,Learn More, partners itcat careers itterm footer,data event page data event category data event action data event label class href,careers link click link footer partners link ,0.0,10,0,1,37,6,0
105,Sign up, signup,data event page data event category data event action data event label class href,careers link click link footer signup link ,0.0,7,0,1,7,6,0
106,Facebook ,https  www facebook com shopify,class target rel data ga event data ga action data ga label href,footer social icon blank me nofollow noopener Social Facebook Footer ,0.0,10,0,1,32,7,0
107,Twitter ,https  twitter com shopify,class target rel data ga event data ga action data ga label href,footer social icon blank me nofollow noopener Social Twitter Footer ,0.0,9,0,1,27,7,0
108,YouTube ,https  www youtube com user shopify,class target rel data ga event data ga action data ga label href,footer social icon blank me nofollow noopener Social Youtube Footer ,0.0,9,0,1,36,7,0
109,Instagram ,https  www instagram com shopify ,class target rel data ga event data ga action data ga label href,footer social icon blank me nofollow noopener Social Instagram Footer ,0.0,11,0,1,34,7,0
110,LinkedIn ,https  www linkedin com company shopify,class target rel data ga event data ga action data ga label href,footer social icon blank me nofollow noopener Social Linkedin Footer ,0.0,10,0,1,40,7,0
111,Pinterest ,https  www pinterest com shopify ,class target rel data ga event data ga action data ga label href,footer social icon blank me nofollow noopener Social Pinterest Footer ,0.0,11,0,1,34,7,0
112,Terms of Service, legal terms,href,,0.0,16,0,1,12,1,0
113,Privacy Policy, legal privacy,href,,0.0,14,0,1,14,1,0
114,USA,https  www shopify com careers search,data ga event data ga label lang href,country selector en ,0.0,3,0,1,38,4,0
115,Canada English ,https  www shopify ca careers search,data ga event data ga label lang href,country selector en ,0.0,16,0,1,37,4,0
116,Canada Fran ais ,https  fr shopify ca carrieres recherche,data ga event data ga label lang href,country selector fr ,0.0,17,0,1,41,4,0
117,France,https  www shopify fr carrieres recherche,data ga event data ga label lang href,country selector fr ,0.0,6,0,1,42,4,0
118,     Timely resources for sellers,https  squareup com ca en l immediate support response,class href,arrow color blue ,0.0,37,0,1,55,2,0
119,Accounting Manager,https  www smartrecruiters com Square 743999721655617,href target, blank,1.0,18,0,1,54,2,0
120,Bank Controller,https  www smartrecruiters com Square 743999720828243,href target, blank,1.0,15,0,1,54,2,0
121,Corporate Accountant,https  www smartrecruiters com Square 743999723473639,href target, blank,1.0,20,0,1,54,2,0
122,Digital Transformation Finance Lead,https  www smartrecruiters com Square 743999720826380,href target, blank,1.0,35,0,1,54,2,0
123,Director of Tax Compliance,https  www smartrecruiters com Square 743999721392054,href target, blank,1.0,26,0,1,54,2,0
124,International Indirect Tax Senior Analyst,https  www smartrecruiters com Square 743999721061180,href target, blank,1.0,41,0,1,54,2,0
125,International Revenue Accountant,https  www smartrecruiters com Square 743999721049363,href target, blank,1.0,32,0,1,54,2,0
126,International Tax Manager,https  www smartrecruiters com Square 743999720389479,href target, blank,1.0,25,0,1,54,2,0
127,Lead Accountant,https  www smartrecruiters com Square 743999724529629,href target, blank,1.0,15,0,1,54,2,0
128,Mergers and Aquisitions Tax Manager,https  www smartrecruiters com Square 743999722990437,href target, blank,1.0,35,0,1,54,2,0
129,Revenue Accountant,https  www smartrecruiters com Square 743999721050082,href target, blank,1.0,18,0,1,54,2,0
130,Senior Financial Reporting and Equity Accountant,https  www smartrecruiters com Square 743999723231022,href target, blank,1.0,48,0,1,54,2,0
131,Senior Revenue Accountant,https  www smartrecruiters com Square 743999720212176,href target, blank,1.0,25,0,1,54,2,0
132,Senior Technical Accounting Manager,https  www smartrecruiters com Square 743999721381946,href target, blank,1.0,35,0,1,54,2,0
133,Tax Accountant  Tax Information Reporting,https  www smartrecruiters com Square 743999720206261,href target, blank,1.0,42,0,1,54,2,0
134,Tax Operations Specialist,https  www smartrecruiters com Square 743999724263373,href target, blank,1.0,25,0,1,54,2,0
135,Tax Resolution Specialist  Payroll,https  www smartrecruiters com Square 743999724263006,href target, blank,1.0,35,0,1,54,2,0
136,Executive Assistant,https  www smartrecruiters com Square 743999724416748,href target, blank,1.0,19,0,1,54,2,0
137,Executive Assistant,https  www smartrecruiters com Square 743999722141167,href target, blank,1.0,19,0,1,54,2,0
138,Executive Assistant Cash App,https  www smartrecruiters com Square 743999721828909,href target, blank,1.0,29,0,1,54,2,0
139,Executive Assistant Seller,https  www smartrecruiters com Square 743999720730402,href target, blank,1.0,27,0,1,54,2,0
140,Executive Assistant Square Financial Services,https  www smartrecruiters com Square 743999723475113,href target, blank,1.0,46,0,1,54,2,0
141,Executive Assistant Verse,https  www smartrecruiters com Square 743999724288051,href target, blank,1.0,26,0,1,54,2,0
142,Office Manager,https  www smartrecruiters com Square 743999723511156,href target, blank,1.0,14,0,1,54,2,0
143,Business Intelligence Analyst Account Management,https  www smartrecruiters com Square 743999722303670,href target, blank,1.0,49,0,1,54,2,0
144,Canada Risk Lead,https  www smartrecruiters com Square 743999721153694,href target, blank,1.0,16,0,1,54,2,0
145,Data Analyst Customer Success,https  www smartrecruiters com Square 743999724509953,href target, blank,1.0,30,0,1,54,2,0
146,Lead Compliance Data Analyst Seller,https  www smartrecruiters com Square 743999718052712,href target, blank,1.0,36,0,1,54,2,0
147,Risk Operations Lead Verse,https  www smartrecruiters com Square 743999721286895,href target, blank,1.0,27,0,1,54,2,0
148,Senior Data Analyst Informatics,https  www smartrecruiters com Square 743999724022433,href target, blank,1.0,32,0,1,54,2,0
149,Sr Compliance Data Analyst,https  www smartrecruiters com Square 743999723225898,href target, blank,1.0,27,0,1,54,2,0
150,Senior Art Director Cash App,https  www smartrecruiters com Square 743999724523282,href target, blank,1.0,29,0,1,54,2,0
151,Amazon US Retail Partner Manager,https  www smartrecruiters com Square 743999722531859,href target, blank,1.0,32,0,1,54,2,0
152,Boost Business Development and Sales Lead Cash App,https  www smartrecruiters com Square 743999724271543,href target, blank,1.0,51,0,1,54,2,0
153,Capital Markets Senior Associate Square Capital,https  www smartrecruiters com Square 743999724492768,href target, blank,1.0,48,0,1,54,2,0
154,Referral Partnerships Lead,https  www smartrecruiters com Square 743999724258478,href target, blank,1.0,26,0,1,54,2,0
155,Senior Partnerships Manager Partnerships,https  www smartrecruiters com Square 743999721837699,href target, blank,1.0,41,0,1,54,2,0
156,Communications Lead,https  www smartrecruiters com Square 743999721980591,href target, blank,1.0,19,0,1,54,2,0
157,Corporate Communications Associate Global Communications,https  www smartrecruiters com Square 743999721821422,href target, blank,1.0,57,0,1,54,2,0
158,Seller Communications Lead Canada,https  www smartrecruiters com Square 743999723997728,href target, blank,1.0,34,0,1,54,2,0
159,Seller Communications Lead UK,https  www smartrecruiters com Square 743999724314855,href target, blank,1.0,30,0,1,54,2,0
160,Customer Success Team Lead Cash App,https  www smartrecruiters com Square 743999722163442,href target, blank,1.0,36,0,1,54,2,0
161,Learning Specialist Lead Cash App,https  www smartrecruiters com Square 743999723188892,href target, blank,1.0,34,0,1,54,2,0
162,Senior Customer Operations Leader Cash App,https  www smartrecruiters com Square 743999719129290,href target, blank,1.0,43,0,1,54,2,0
163,Senior Customer Operations Leader Cash App,https  www smartrecruiters com Square 743999719039963,href target, blank,1.0,43,0,1,54,2,0
164,Senior Customer Operations Leader Cash App,https  www smartrecruiters com Square 743999718980314,href target, blank,1.0,43,0,1,54,2,0
165,Senior Customer Success Manager Cash App,https  www smartrecruiters com Square 743999724299748,href target, blank,1.0,41,0,1,54,2,0
166,Senior Risk Operations Leader Cash App,https  www smartrecruiters com Square 743999722617803,href target, blank,1.0,39,0,1,54,2,0
167,Senior Risk Operations Leader Cash App,https  www smartrecruiters com Square 743999722617674,href target, blank,1.0,39,0,1,54,2,0
168,Senior Risk Operations Leader Cash App,https  www smartrecruiters com Square 743999722617578,href target, blank,1.0,39,0,1,54,2,0
169,Social Media Response Team Lead Cash App,https  www smartrecruiters com Square 743999721287690,href target, blank,1.0,41,0,1,54,2,0
170,Data Scientist Point of Sale  Customers,https  www smartrecruiters com Square 743999722056352,href target, blank,1.0,41,0,1,54,2,0
171,Machine Learning Engineer Growth,https  www smartrecruiters com Square 743999717752378,href target, blank,1.0,33,0,1,54,2,0
172,Machine Learning Manager Growth  Cash App,https  www smartrecruiters com Square 743999723058363,href target, blank,1.0,43,0,1,54,2,0
173,Machine Learning Manager Network  Cash App,https  www smartrecruiters com Square 743999723058113,href target, blank,1.0,44,0,1,54,2,0
174,Machine Learning Modeler Cash App,https  www smartrecruiters com Square 743999720917478,href target, blank,1.0,34,0,1,54,2,0
175,Machine Learning Modeler Financial Crimes,https  www smartrecruiters com Square 743999721382607,href target, blank,1.0,42,0,1,54,2,0
176,Senior Business Intelligence Engineer Cash App,https  www smartrecruiters com Square 743999724410659,href target, blank,1.0,47,0,1,54,2,0
177,Senior Product Data Scientist Cash App,https  www smartrecruiters com Square 743999723752882,href target, blank,1.0,39,0,1,54,2,0
178,Design Researcher Investing  Cash App,https  www smartrecruiters com Square 743999723314985,href target, blank,1.0,39,0,1,54,2,0
179,Interactive Designer Global Communications,https  www smartrecruiters com Square 743999721397556,href target, blank,1.0,43,0,1,54,2,0
180,Product Design Director Payments Product,https  www smartrecruiters com Square 743999724407670,href target, blank,1.0,41,0,1,54,2,0
181,Product Design Manager Marketing Automation,https  www smartrecruiters com Square 743999722141424,href target, blank,1.0,44,0,1,54,2,0
182,Product Design Manager Payments Platform,https  www smartrecruiters com Square 743999724141637,href target, blank,1.0,41,0,1,54,2,0
183,Product Designer Cash App,https  www smartrecruiters com Square 743999717150108,href target, blank,1.0,26,0,1,54,2,0
184,Product Designer Ecommerce  Store,https  www smartrecruiters com Square 743999722863592,href target, blank,1.0,35,0,1,54,2,0
185,Product Designer Square for Retail,https  www smartrecruiters com Square 743999722413161,href target, blank,1.0,35,0,1,54,2,0
186,Senior Designer Cash App,https  www smartrecruiters com Square 743999724523346,href target, blank,1.0,25,0,1,54,2,0
187,Senior Product Designer  Channels  Fulfillment,https  www smartrecruiters com Square 743999724400850,href target, blank,1.0,48,0,1,54,2,0
188,Senior Product Designer Payments Product,https  www smartrecruiters com Square 743999723200497,href target, blank,1.0,41,0,1,54,2,0
189,UX Research Director Financial Services,https  www smartrecruiters com Square 743999724307394,href target, blank,1.0,40,0,1,54,2,0
190,Writing Lead Cash App,https  www smartrecruiters com Square 743999724383556,href target, blank,1.0,22,0,1,54,2,0
191,Analyst Sales Pricing,https  www smartrecruiters com Square 743999724616783,href target, blank,1.0,22,0,1,54,2,0
192,Director  Corporate FP A,https  www smartrecruiters com Square 743999721309430,href target, blank,1.0,25,0,1,54,2,0
193,F S Infrastructure Manager Cash App,https  www smartrecruiters com Square 743999718970827,href target, blank,1.0,35,0,1,54,2,0
194,F S Senior Manager Strategic Initiatives,https  www smartrecruiters com Square 743999722401275,href target, blank,1.0,41,0,1,54,2,0
195,Finance  Strategy F S Senior Manager Cash App,https  www smartrecruiters com Square 743999724542873,href target, blank,1.0,49,0,1,54,2,0
196,Finance  Strategy Manager  Capital,https  www smartrecruiters com Square 743999720736791,href target, blank,1.0,36,0,1,54,2,0
197,Finance  Strategy Manager  Global Marketing  Brand,https  www smartrecruiters com Square 743999722873217,href target, blank,1.0,53,0,1,54,2,0
198,Finance  Strategy Manager Cash App,https  www smartrecruiters com Square 743999724393450,href target, blank,1.0,36,0,1,54,2,0
199,Finance  Strategy Senior Analyst  Cash App,https  www smartrecruiters com Square 743999723345757,href target, blank,1.0,44,0,1,54,2,0
200,Senior Technical Payroll Analyst,https  www smartrecruiters com Square 743999723345191,href target, blank,1.0,32,0,1,54,2,0
201,SR Global Payroll Analyst,https  www smartrecruiters com Square 743999723183637,href target, blank,1.0,25,0,1,54,2,0
202,Treasury Manager,https  www smartrecruiters com Square 743999723105115,href target, blank,1.0,16,0,1,54,2,0
203,Hardware Systems Electronics Engineer,https  www smartrecruiters com Square 743999722265861,href target, blank,1.0,37,0,1,54,2,0
204,Cloud Application Engineer,https  www smartrecruiters com Square 743999722609012,href target, blank,1.0,26,0,1,54,2,0
205,Cloud Application Engineer Cash,https  www smartrecruiters com Square 743999724181701,href target, blank,1.0,32,0,1,54,2,0
206,Data Engineer Marketing,https  www smartrecruiters com Square 743999720305162,href target, blank,1.0,24,0,1,54,2,0
207,Finance Product  Data Lead,https  www smartrecruiters com Square 743999722513653,href target, blank,1.0,27,0,1,54,2,0
208,Head of IT Logistics,https  www smartrecruiters com Square 743999722610358,href target, blank,1.0,20,0,1,54,2,0
209,IT Support Manager,https  www smartrecruiters com Square 743999724157933,href target, blank,1.0,18,0,1,54,2,0
210,Mulesoft Integration Architect,https  www smartrecruiters com Square 743999718267643,href target, blank,1.0,30,0,1,54,2,0
211,Sales Engineer,https  www smartrecruiters com Square 743999724486085,href target, blank,1.0,14,0,1,54,2,0
212,Senior CRM Product Manager Customer Success,https  www smartrecruiters com Square 743999723126242,href target, blank,1.0,44,0,1,54,2,0
213,Senior CRM Product Manager Sales,https  www smartrecruiters com Square 743999723083492,href target, blank,1.0,33,0,1,54,2,0
214,Senior Data Engineer Sales,https  www smartrecruiters com Square 743999724401828,href target, blank,1.0,27,0,1,54,2,0
215,Senior Site Reliability Engineer  Storage,https  www smartrecruiters com Square 743999718879516,href target, blank,1.0,42,0,1,54,2,0
216,Senior Software Engineer Cash App,https  www smartrecruiters com Square 743999724072246,href target, blank,1.0,34,0,1,54,2,0
217,Senior Software Engineer Cloud Platform Cash App,https  www smartrecruiters com Square 743999718991313,href target, blank,1.0,50,0,1,54,2,0
